Location;Specializaion;Position_level;Contract_type;Work_schedule;Work_modes
Warszawa, mazowieckie;Specjalizacje:Business analytics, System analytics;specjalista (Mid / Regular), starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Kraków, Lesser Poland;Specializations:Frontend, Project Management;manager / supervisor;contract of employment;full-time;hybrid work
Kraków, Lesser Poland;Specializations:Helpdesk;senior specialist (Senior);B2B contract;full-time;home office work
Warszawa, mazowieckie;Specjalizacje:IT admin;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:IT admin;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat, czêœæ etatu;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Project Management;mened¿er;kontrakt B2B;pe³ny etat;praca hybrydowa
Cieszyn, œl¹skie;Specjalizacje:Backend;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Business analytics, Project Management;starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Product Management;mened¿er;kontrakt B2B;pe³ny etat;praca zdalna
Wroc³aw, Lower Silesia;Specializations:Full-stack;senior specialist (Senior);contract of employment;full-time;home office work
Warszawa, mazowieckie;Specjalizacje:AI/ML;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Project Management;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Project Management;starszy specjalista (Senior), ekspert;umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna, praca hybrydowa
Siedlce, mazowieckie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Wroc³aw, Lower Silesia;Specializations:Architecture;specialist (Mid / Regular);B2B contract;full-time;full office work, home office work, hybrid work
Warszawa, Masovian;Specializations:Helpdesk;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Kraków, Lesser Poland;Specializations:AI/ML, DevOps, Frontend;senior specialist (Senior);contract of employment;full-time;hybrid work
Tarnów, ma³opolskie;Specjalizacje:IT admin;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Kraków, Lesser Poland;Specializations:Helpdesk, IT admin;specialist (Mid / Regular);contract of employment;full-time;full office work
Warszawa, mazowieckie;Specjalizacje:Business analytics, System analytics;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:SAP&ERP;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Katowice, œl¹skie;Specjalizacje:System analytics;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;Specjalizacje:QA/Testing;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Kraków, Lesser Poland;Specializations:Backend;senior specialist (Senior);contract of employment, B2B contract;full-time;home office work, hybrid work
Kraków, ma³opolskie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;Specjalizacje:Big Data / Data Science;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Katowice, œl¹skie;Specjalizacje:IT admin;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca hybrydowa
Kraków, ma³opolskie;Specjalizacje:Backend;starszy specjalista (Senior), ekspert;kontrakt B2B;pe³ny etat;praca stacjonarna, praca zdalna, praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:Backend;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
Wroc³aw, Lower Silesia;Specializations:Backend;specialist (Mid / Regular);B2B contract;;hybrid work
Warszawa, Masovian;Specializations:DevOps;specialist (Mid / Regular), senior specialist (Senior);contract of employment, B2B contract;full-time;home office work, hybrid work
Wroc³aw, Lower Silesia;Specializations:Security;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Wroc³aw, Lower Silesia;Specializations:Backend;specialist (Mid / Regular), senior specialist (Senior);contract of employment, B2B contract;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Security;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca zdalna
Kraków, Lesser Poland;;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Project Management;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Katowice, Silesian;Specializations:Backend;specialist (Mid / Regular), senior specialist (Senior);B2B contract;full-time;hybrid work
Kraków, ma³opolskie;Specjalizacje:Full-stack;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Kraków, Lesser Poland;Specializations:Architecture, DevOps;specialist (Mid / Regular);B2B contract;full-time;home office work
Kraków, ma³opolskie;Specjalizacje:Architecture;starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:IT admin;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:QA/Testing;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
Warszawa, mazowieckie;;specjalista (Mid / Regular), starszy specjalista (Senior);umowa o pracê;pe³ny etat;praca stacjonarna, praca hybrydowa
Warszawa, Masovian;Specializations:SAP&ERP;senior specialist (Senior);B2B contract;full-time;home office work
Warszawa, Masovian;Specializations:IT admin, SAP&ERP;senior specialist (Senior);B2B contract;full-time;home office work
Warszawa, Masovian;Specializations:Business analytics, SAP&ERP, System analytics;senior specialist (Senior);B2B contract;full-time;home office work
Tajêcina (pow. rzeszowski), Subcarpathia;;senior specialist (Senior);contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:SAP&ERP;senior specialist (Senior);B2B contract;full-time;home office work
Warszawa, mazowieckie;;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, Masovian;;specialist (Mid / Regular), senior specialist (Senior);B2B contract;full-time;home office work
Kraków, ma³opolskie;Specjalizacje:IT admin;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, Masovian;;specialist (Mid / Regular), senior specialist (Senior);B2B contract;full-time;home office work
Kraków, ma³opolskie;Specjalizacje:SAP&ERP;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Wroc³aw, dolnoœl¹skie;Specjalizacje:Project Management;starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Toruñ, kujawsko-pomorskie;Specjalizacje:Business analytics, System analytics;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Warszawa, Masovian;Specializations:Project Management;junior specialist (Junior);contract of employment;full-time;hybrid work
Wroc³aw, Lower Silesia;Specializations:Backend;specialist (Mid / Regular);B2B contract;full-time;full office work, home office work, hybrid work
Wroc³aw, Lower Silesia;Specializations:Business analytics, Product Management;senior specialist (Senior);B2B contract;full-time;full office work, home office work, hybrid work
Warszawa, Masovian;Specializations:Backend;senior specialist (Senior);contract of employment, B2B contract;full-time;home office work
Warszawa, Masovian;Specializations:Big Data / Data Science;senior specialist (Senior);contract of employment, B2B contract;full-time;home office work
Warszawa, Masovian;Specializations:DevOps;specialist (Mid / Regular);B2B contract;full-time;home office work
Warszawa, Masovian;Specializations:Backend;specialist (Mid / Regular), senior specialist (Senior);contract of employment;full-time;hybrid work
Kraków, ma³opolskie;Specjalizacje:Architecture, IT admin;starszy specjalista (Senior), ekspert;umowa o pracê;pe³ny etat;praca zdalna
Warszawa, Masovian;Specializations:Security;junior specialist (Junior);B2B contract;full-time;home office work
Warszawa, mazowieckie;Specjalizacje:IT admin;starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca hybrydowa
Gdynia, Pomeranian;Specializations:QA/Testing;senior specialist (Senior);contract of employment;full-time;home office work
Warszawa, Masovian;Specializations:DevOps, Full-stack;specialist (Mid / Regular);contract of employment;full-time;hybrid work
£ask, ³ódzkie;Specjalizacje:Full-stack;starszy specjalista (Senior);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Kraków, ma³opolskie;Specjalizacje:IT admin, SAP&ERP;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Katowice, Silesian;;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:Helpdesk;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Kraków, Lesser Poland;Specializations:QA/Testing;senior specialist (Senior);contract of employment;full-time;full office work
Warszawa, mazowieckie;Specjalizacje:Backend, Big Data / Data Science;specjalista (Mid / Regular), m³odszy specjalista (Junior);kontrakt B2B;pe³ny etat;praca zdalna
Warszawa, mazowieckie;;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca hybrydowa
Wroc³aw, dolnoœl¹skie;Specjalizacje:DevOps, Helpdesk, IT admin, Security;specjalista (Mid / Regular);umowa o pracê;pe³ny etat;praca stacjonarna
Kraków, Lesser Poland;Specializations:Big Data / Data Science;specialist (Mid / Regular), senior specialist (Senior);B2B contract;full-time;home office work, hybrid work
Kraków, Lesser Poland;Specializations:IT admin;director;contract of employment;full-time;full office work
Warszawa, Masovian;Specializations:IT admin;senior specialist (Senior);contract of employment;full-time;hybrid work
Kraków, Lesser Poland;Specializations:IT admin;director;contract of employment;full-time;full office work
Kraków, Lesser Poland;Specializations:QA/Testing;manager / supervisor;contract of employment;full-time;full office work
Warszawa, Masovian;Specializations:Agile;manager / supervisor;B2B contract;;home office work
Kraków, Lesser Poland;Specializations:QA/Testing;specialist (Mid / Regular);contract of employment;full-time;full office work
Warszawa, mazowieckie;Specjalizacje:Backend;starszy specjalista (Senior), ekspert;kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, Masovian;Specializations:DevOps;specialist (Mid / Regular);B2B contract;;home office work
Warszawa, Masovian;Specializations:DevOps;specialist (Mid / Regular);B2B contract;;home office work
Kraków, Lesser Poland;Specializations:IT admin;manager / supervisor, team manager;contract of employment;full-time;full office work
Poznañ, Greater Poland;Specializations:Full-stack;specialist (Mid / Regular);contract of mandate, B2B contract;;home office work, hybrid work
Kraków, Lesser Poland;Specializations:IT admin;senior specialist (Senior);contract of employment;full-time;full office work
Kraków, Lesser Poland;Specializations:IT admin;senior specialist (Senior);contract of employment;full-time;full office work
Kraków, Lesser Poland;Specializations:IT admin;senior specialist (Senior);contract of employment;full-time;full office work
Kraków, Lesser Poland;Specializations:IT admin;senior specialist (Senior);contract of employment;full-time;full office work
Kraków, Lesser Poland;Specializations:Big Data / Data Science;senior specialist (Senior);contract of employment;full-time;full office work
Warszawa, mazowieckie;Specjalizacje:Project Management;specjalista (Mid / Regular);kontrakt B2B;pe³ny etat;praca hybrydowa
Kraków, Lesser Poland;Specializations:IT admin;manager / supervisor, team manager;contract of employment;full-time;full office work
Kraków, Lesser Poland;Specializations:IT admin;senior specialist (Senior);contract of employment;full-time;full office work
Kraków, Lesser Poland;Specializations:QA/Testing;specialist (Mid / Regular);contract of employment;full-time;full office work
Warszawa, Masovian;Specializations:DevOps;specialist (Mid / Regular);contract of employment, B2B contract;full-time;hybrid work
Warszawa, mazowieckie;;specjalista (Mid / Regular), m³odszy specjalista (Junior);umowa o pracê;pe³ny etat;praca stacjonarna
Warszawa, Masovian;;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, mazowieckie;Specjalizacje:SAP&ERP;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca hybrydowa
Warszawa, mazowieckie;Specjalizacje:DevOps;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca zdalna, praca hybrydowa
Katowice, œl¹skie;Specjalizacje:IT admin;specjalista (Mid / Regular);umowa o pracê, kontrakt B2B;pe³ny etat;praca stacjonarna
Warszawa, Masovian;Specializations:Backend, Project Management, SAP&ERP;manager / supervisor, team manager;B2B contract;full-time;hybrid work
Warszawa, Masovian;Specializations:Full-stack;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Kraków, Lesser Poland;Specializations:Project Management;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Kraków, Lesser Poland;Specializations:IT admin;director;contract of employment;full-time;full office work
Kraków, Lesser Poland;Specializations:AI/ML, Architecture, Frontend;senior specialist (Senior);B2B contract;full-time;home office work
Wroc³aw, Lower Silesia;;manager / supervisor;contract of employment;full-time;home office work, hybrid work
Warszawa, mazowieckie;Specjalizacje:SAP&ERP;specjalista (Mid / Regular), starszy specjalista (Senior);kontrakt B2B;pe³ny etat;praca hybrydowa
Kraków, Lesser Poland;Specializations:Backend, Full-stack;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:SAP&ERP;senior specialist (Senior);B2B contract;full-time;home office work
Warszawa, Masovian;Specializations:AI/ML, Big Data / Data Science;specialist (Mid / Regular);agency agreement;full-time;hybrid work
Kraków, Lesser Poland;Specializations:IT admin;team manager;contract of employment;full-time;hybrid work
Kraków, Lesser Poland;Specializations:Backend, Full-stack;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Warszawa, Masovian;Specializations:Big Data / Data Science, System analytics;specialist (Mid / Regular);contract of employment, B2B contract;full-time;hybrid work
Warszawa, mazowieckie;;praktykant / sta¿ysta;umowa o sta¿ / praktyki;pe³ny etat;praca stacjonarna
Kraków, Lesser Poland;Specializations:IT admin;specialist (Mid / Regular);contract of employment;full-time;hybrid work
Kraków, Lesser Poland;Specializations:IT admin;specialist (Mid / Regular);contract of employment;full-time;hybrid work
